Date,Open,High,Low,Close,Adj Close,Volume
16-01-2012,364.975006,364.975006,355.5,356.475006,312.592438,8134976
17-01-2012,358,372.200012,358,371.024994,325.351318,10395272
18-01-2012,381,393.950012,379.024994,389.875,341.880859,18497512
19-01-2012,394.5,397.975006,391.049988,392.825012,344.467743,10967016
20-01-2012,395,400,386.024994,396.325012,347.536896,14503728
23-01-2012,377.649994,389.875,377.600006,385.774994,338.285553,12915170
24-01-2012,387.299988,395.799988,385.200012,391.875,343.634613,10190998
25-01-2012,394.350006,397.5,391.399994,395.475006,346.791504,7674410
27-01-2012,400,413.950012,399.5,410.200012,359.703827,11130982
30-01-2012,406.950012,409.424988,396.100006,397.375,348.457611,9658182
31-01-2012,402.25,410.399994,400.700012,408.549988,358.256927,12528924
01-02-2012,409.450012,417,408,415.600006,364.439026,7553612
02-02-2012,417.5,421.350006,412.075012,414.625,363.584106,9803958
03-02-2012,415,420,407.825012,419.149994,367.552063,9138418
06-02-2012,422.950012,424.75,412.049988,416.5,365.228302,7968824
07-02-2012,421,426.350006,417.125,422.274994,370.292328,9631954
08-02-2012,423.5,432.350006,422.5,429.200012,376.364868,7295252
09-02-2012,428.375,429.950012,421.299988,426.924988,374.369934,8618382
10-02-2012,425.174988,429.5,419,421.625,369.722382,6835950
13-02-2012,420.549988,429.399994,420.5,424.625,372.353119,6987398
14-02-2012,423.450012,428.200012,421.5,424.450012,372.199646,6268442
15-02-2012,427.100006,427.875,416.524994,418.325012,366.828674,14364634
16-02-2012,415.5,415.5,402.350006,406.225006,356.21817,12685154
17-02-2012,411.024994,413.200012,405.100006,409.100006,358.739197,16422650
21-02-2012,408.75,424.375,407.549988,421.774994,369.853912,16667330
22-02-2012,424,428.700012,415.049988,416.700012,365.403687,11496258
23-02-2012,416,424.950012,413.299988,419.799988,368.12204,8734586
24-02-2012,416.75,420.850006,407.25,409.975006,359.506561,8570072
27-02-2012,410.899994,412.799988,382.674988,390.725006,342.62619,12696430
28-02-2012,394.524994,400.174988,393.850006,398.25,349.224884,10578836
29-02-2012,402.524994,413.950012,402.075012,410.375,359.8573,12730698
01-03-2012,405.899994,409.350006,400.549988,405.475006,355.560516,5925188
02-03-2012,408.125,409,402.875,407.049988,356.941589,5800174
03-03-2012,,,,,,
05-03-2012,406.024994,407,397.125,398.75,349.663361,5977226
06-03-2012,398.5,404.5,387,388.274994,340.477814,16059982
07-03-2012,388.274994,388.75,375.5,380.899994,334.010681,12893458
09-03-2012,387.649994,389.799988,384.600006,386.899994,339.272064,7885854
12-03-2012,395,401.5,389.850006,399.274994,350.123657,6876666
13-03-2012,401.725006,410.975006,401.649994,409.975006,359.506561,7368154
14-03-2012,414,415,403.350006,407.25,357.116974,8057018
15-03-2012,409,410.600006,396.700012,398.325012,349.290649,9261372
16-03-2012,390,398.850006,383.674988,386.174988,338.636322,11506192
19-03-2012,390.5,391.5,375.549988,377.549988,331.07309,7304896
20-03-2012,378.049988,383.200012,375.149994,380.274994,333.462616,4779840
21-03-2012,380,386.75,377.549988,384.024994,336.751007,6497096
22-03-2012,382.950012,385.725006,366,368.174988,322.852142,13369316
23-03-2012,371.899994,374.75,369.049988,372.024994,326.22821,12323672
26-03-2012,371.950012,371.950012,363.5,365.049988,320.111816,10576696
27-03-2012,369,369.399994,362.549988,365.524994,320.528381,12432502
28-03-2012,365,367.950012,360.25,362.850006,318.182648,8262228
29-03-2012,359,364.850006,359,362.325012,317.722321,10961434
30-03-2012,364.75,376.5,363.549988,375.299988,329.100067,7898408
02-04-2012,374.674988,375.424988,369.524994,370.274994,324.693665,5129724
03-04-2012,372.125,381.450012,372.125,376.350006,330.020752,8007540
04-04-2012,372.5,378.5,371.725006,373.5,327.521637,5400824
09-04-2012,370.024994,374,367.049988,371.075012,325.395203,5217040
10-04-2012,373,373.5,369.049988,371.325012,325.61438,3826530
11-04-2012,369.5,369.5,363.149994,365.149994,320.199524,7453684
12-04-2012,366.649994,372.799988,366.649994,371.649994,325.899353,5385010
13-04-2012,373.024994,381,368.75,375.774994,329.516571,6498448
16-04-2012,373.549988,376.725006,368,374.049988,328.003937,4808492
17-04-2012,377.399994,377.399994,370.174988,373.200012,327.258575,6351854
18-04-2012,375,378.399994,371.350006,374.299988,328.223145,6856690
19-04-2012,376.950012,376.950012,369.25,370.825012,325.175934,8411492
20-04-2012,370.024994,370.5,364,365.424988,320.440674,6821954
23-04-2012,362.924988,372.875,362.100006,368.149994,322.830231,10106398
24-04-2012,369.5,370.25,361.850006,367.549988,322.304077,7618632
25-04-2012,367.049988,371.450012,364.024994,368.149994,322.830231,6211262
26-04-2012,368.549988,374.5,366.799988,372.524994,326.666656,6939968
27-04-2012,370.649994,373.575012,368.25,371,325.329407,5715402
30-04-2012,368.75,373.950012,368.75,372.549988,326.688568,5553540
02-05-2012,373.950012,375.700012,370,371.774994,326.008972,5723804
03-05-2012,369.25,372.225006,367.575012,369.424988,323.948273,3794324
04-05-2012,366.700012,370,361,363.225006,318.511475,7556936
07-05-2012,357.5,361,352.549988,357.850006,313.798157,9182100
08-05-2012,359,359.450012,349.5,354.174988,310.575531,7770830
09-05-2012,351,354.149994,345.524994,347.549988,304.766144,7341320
10-05-2012,348.625,354.200012,345.274994,347.075012,304.349609,6783638
11-05-2012,346.5,351.5,344.149994,348.600006,305.686859,6085020
14-05-2012,349,351.399994,339.274994,340.649994,298.715485,8162188
15-05-2012,339.5,344,337.049988,340.825012,298.869019,7392692
16-05-2012,337.5,341.399994,336.524994,338.049988,296.435547,6203520
17-05-2012,340.125,344.924988,338.899994,342.575012,300.403595,7120976
18-05-2012,338.450012,348.200012,337.5,344.274994,301.894257,4727920
21-05-2012,343.25,350.350006,343,347.75,304.941467,4668254
22-05-2012,352.299988,352.299988,344.375,345.549988,303.012329,5876094
23-05-2012,342.600006,344.975006,339.774994,343.424988,301.148926,5166696
24-05-2012,347,350,343.049988,347.649994,304.853851,4799636
25-05-2012,347.5,347.649994,344.274994,345.600006,303.056183,6170046
28-05-2012,346,351.5,346,350.825012,307.638,5150204
29-05-2012,351.100006,354.899994,348.774994,350.924988,307.725647,6868632
30-05-2012,349.825012,354.325012,347.575012,353.125,309.654816,7042064
31-05-2012,348.5,364.524994,341.174988,352.799988,317.000244,18049922
01-06-2012,353.674988,354.725006,339.024994,342.625,307.857788,8193138
04-06-2012,338.5,348.5,336.700012,346.375,311.227234,6523694
05-06-2012,348,353,347.549988,351.274994,315.630035,6073276
06-06-2012,352.225006,359,349.25,357.950012,321.627747,10630444
07-06-2012,360.524994,365.950012,358.125,360.625,324.031311,12775432
08-06-2012,359,365.950012,356.149994,364.850006,327.827576,5814010
11-06-2012,366.350006,368.200012,359.049988,361.125,324.480499,4550792
12-06-2012,357.5,363,357.200012,361.475006,324.795013,5468620
13-06-2012,361.125,361.975006,356.200012,358.149994,321.807373,4548816
14-06-2012,358,360.399994,355.524994,358.174988,321.829865,3419434
15-06-2012,359.25,364.899994,359.25,363.375,326.502197,4542734
18-06-2012,365.174988,367.25,356,359.450012,322.975494,4587396
19-06-2012,358.5,369.700012,358.5,368.725006,331.309296,3567750
20-06-2012,369,371.475006,366.5,368.700012,331.286896,4714924
21-06-2012,367,367,355.200012,359.350006,322.885651,10336184
22-06-2012,356.774994,357.450012,351.774994,355.5,319.4263,8745728
25-06-2012,357.100006,361.475006,356,358.100006,321.762482,5081240
26-06-2012,358.75,362.75,357.225006,361.75,325.042114,7353174
27-06-2012,363.200012,364.799988,359,361.25,324.592865,3523864
28-06-2012,362.200012,363.899994,358.325012,359.950012,323.424744,5441830
29-06-2012,362.549988,370.450012,362.549988,368.924988,331.489044,7667150
02-07-2012,367.75,370.399994,365.075012,368.700012,331.286896,3123346
03-07-2012,369.975006,371.325012,365.649994,368.174988,330.815125,4706492
04-07-2012,370,370,364.424988,367.125,329.871674,4273188
05-07-2012,367.475006,371.200012,366.024994,369.350006,331.87088,3568436
06-07-2012,369,369,364.75,367.424988,330.141266,4233158
09-07-2012,364.5,366.899994,363.049988,365.899994,328.771027,3565348
10-07-2012,365.725006,371,365.399994,369.850006,332.320129,2731274
11-07-2012,366.725006,368.299988,361,362.825012,326.008057,5457274
12-07-2012,360.950012,364.899994,358.549988,360.600006,324.00882,4602056
13-07-2012,360,363.25,357.5,359.25,322.795776,5199434
16-07-2012,360,362.075012,357.524994,360.174988,323.626953,3340658
17-07-2012,362.399994,363.975006,358.649994,359.674988,323.177643,5210268
18-07-2012,359,360.924988,356.100006,357.899994,321.582794,3910028
19-07-2012,360.100006,364.950012,359,363.899994,326.973907,5340264
20-07-2012,361.149994,364.424988,358.524994,361.325012,324.660248,5672054
23-07-2012,357.5,362.899994,356.649994,359.5,323.020447,4672712
24-07-2012,360.5,363.424988,359.174988,362.25,325.491364,3673386
25-07-2012,360.200012,362.274994,356.075012,359.625,323.132782,3999392
26-07-2012,360.450012,360.450012,353.325012,355.075012,319.044495,6408030
27-07-2012,359.5,363.399994,358.075012,360.5,323.918945,6156390
30-07-2012,361.5,365.899994,360.924988,364.799988,327.782593,3183650
31-07-2012,365.799988,373.049988,360.5,371.799988,334.072296,6162516
01-08-2012,370.125,375.450012,369.299988,373.375,335.487457,6597782
